screen_name;id;id_str;name;location;Idioma;concepto;impacto;NoTweets
sergiodigra;;;;;es;;;100
Victor_Malagon;;;;;es;;;100
jscorrales;;;;;es;;;100
_minecogob;;;;;es;;;100
elEconomistaes;;;;;es;;;100
FT;;;;;en;;;100
rodriguezbraun;;;;;es;;;100
josecdiez;;;;;es;;;100
suanzes;;;;;es;;;100
wef;;;;;es;;;100
ecofeminita;;;;;es;;;100
epeconomia;;;;;es;;;100
RevistaDinero;38227815;38227815;Revista Dinero;;es;economía;10;100
bbcmundo;10012122;10012122;BBC News Mundo;;es;internacional;8;100
BluRadioCo;622082899;622082899;BluRadio Colombia;;es;actualidad;8;100
elespectador;14834302;14834302;elespectador;;es;actualidad;8;100
RevistaSemana;18079284;18079284;Revista Semana;;es;actualidad;8;100
ELTIEMPO;9633802;9633802;EL TIEMPO;;es;actualidad;8;100
elcolombiano;64419705;64419705;El Colombiano;;es;actualidad;8;100
lafm;126204564;126204564;La FM;;es;actualidad;8;100
NoticiasRCN;35013719;35013719;Noticias RCN;;es;actualidad;8;100
rcnradio;40533752;40533752;RCN Radio;;es;actualidad;8;100
MailOnline;15438913;15438913;Daily Mail Online;;en;actualidad;8;100
clarincom;8105922;8105922;Clarí­n;;es;actualidad;8;100
NBCNews;14173315;14173315;NBC News;;en;actualidad;8;100
rcnmundo;210805091;210805091;RCN Mundo;;es;actualidad;8;100
CaracolRadio;19236074;19236074;Caracol Radio;;es;actualidad;8;100
NoticiasCaracol;17813487;17813487;Noticias Caracol;;es;actualidad;8;100
NTN24;133945128;133945128;NTN24;;es;internacional;8;100
NASA;11348282;11348282;NASA;;en;ambiente ciencia y tecnología;6;100
PublimetroCol;377173121;377173121;Publimetro Colombia;;es;actualidad;8;100
Adcamach;;;;;es;;;100
Adriana_Guzman;;;;;es;;;100
agaviriau;;;;;es;;;100
AlbertoBernalLE;;;;;es;;;100
alhosu;;;;;es;;;100
amaldon19;;;;;es;;;100
Anamibanez;;;;;es;;;100
BancoRepublica;;;;;es;;;100
BvcColombia;;;;;es;;;100
CamiloDeGuzman;;;;;es;;;100
carlos_g_ospino;;;;;es;;;100
castellanosgd;;;;;es;;;100
CehernandezEcon;;;;;es;;;100
Cesaretamayo;;;;;es;;;100
estebanpie;;;;;es;;;100
Fedesarrollo;;;;;es;;;100
FocoEconomico;;;;;es;;;100
Fondosdepension;;;;;es;;;100
freddykastro;;;;;es;;;100
IECarballo;;;;;es;;;100
jagallegod;;;;;es;;;100
japebu;;;;;es;;;100
JavierMejiaC;;;;;es;;;100
jleibovi;;;;;es;;;100
Jllanosala;;;;;es;;;100
JoMalagon;;;;;es;;;100
JorgeARestrepo;;;;;es;;;100
JorgeATovar;;;;;es;;;100
JoseILOPEZ;;;;;es;;;100
jrobertoacosta1;;;;;es;;;100
juanf_vargas;;;;;es;;;100
juansrobledo;;;;;es;;;100
JusTributaria;;;;;es;;;100
LeopoldoTweets;;;;;es;;;100
LuisFelipeHenao;;;;;es;;;100
LuisFerMejia;;;;;es;;;100
mahofste;;;;;es;;;100
MantillaIgnacio;;;;;es;;;100
mariovalencia01;;;;;es;;;100
MauricioCard;;;;;es;;;100
Maurotov;;;;;es;;;100
MelendezMarcela;;;;;es;;;100
MinHacienda;;;;;es;;;100
MinSaludCol;;;;;es;;;100
Minvivienda;;;;;es;;;100
Moliverag;;;;;es;;;100
mpapell;;;;;es;;;100
NoelMllr;;;;;es;;;100
OskarNupia;;;;;es;;;100
Portafolioco;;;;;es;;;100
rafaelpuyana;;;;;es;;;100
RaquelBernal3;;;;;es;;;100
razuero;;;;;es;;;100
rchicave;;;;;es;;;100
RobertoAnguloS;;;;;es;;;100
RodLuisAlberto;;;;;es;;;100
Rohgal;;;;;es;;;100
